County,NUTS_II,Foot
Kildare,SE,7
Kildare,SE,17
Kildare,SE,2
Kildare,SE,6
Kildare,SE,22
Kildare,SE,5
Kildare,SE,2
Kildare,SE,22
Kildare,SE,10
Kildare,SE,19
Kildare,SE,10
Kildare,SE,8
Kildare,SE,1
Kildare,SE,8
Kildare,SE,7
Kildare,SE,15
Kildare,SE,30
Kildare,SE,9
Kildare,SE,13
Kildare,SE,10
Kildare,SE,14
Kildare,SE,11
Kildare,SE,4
Kildare,SE,5
Kildare,SE,9
Kildare,SE,4
Kildare,SE,38
Kildare,SE,7
Kildare,SE,81
Kildare,SE,41
Kildare,SE,36
Kildare,SE,19
Kildare,SE,22
Kildare,SE,37
Kildare,SE,61
Kildare,SE,36
Kildare,SE,8
Kildare,SE,13
Kildare,SE,31
Kildare,SE,12
Kildare,SE,56
Kildare,SE,20
Kildare,SE,15
Kildare,SE,8
Kildare,SE,4
Kildare,SE,47
Kildare,SE,9
Kildare,SE,6
Kildare,SE,60
Kildare,SE,28
Kildare,SE,29
Kildare,SE,75
Kildare,SE,27
Kildare,SE,46
Kildare,SE,39
Kildare,SE,46
Kildare,SE,54
Kildare,SE,10
Kildare,SE,21
Kildare,SE,15
Kildare,SE,27
Kildare,SE,26
Kildare,SE,79
Kildare,SE,47
Kildare,SE,26
Kildare,SE,75
Kildare,SE,52
Kildare,SE,35
Kildare,SE,50
Kildare,SE,53
Kildare,SE,56
Kildare,SE,50
Kildare,SE,28
Kildare,SE,138
Kildare,SE,47
Kildare,SE,27
Kildare,SE,41
Kildare,SE,20
Kildare,SE,19
Kildare,SE,29
Kildare,SE,20
Kildare,SE,41
Kildare,SE,29
Kildare,SE,22
Kildare,SE,22
Kildare,SE,17
Kildare,SE,20
Kildare,SE,49
Kildare,SE,36
Kildare,SE,44
Kildare,SE,57
Kildare,SE,51
Kildare,SE,27
Kildare,SE,23
Kildare,SE,33
Kildare,SE,36
Kildare,SE,15
Kildare,SE,25
Kildare,SE,48
Kildare,SE,20
Kildare,SE,52
Kildare,SE,38
Kildare,SE,67
Kildare,SE,78
Kildare,SE,95
Kildare,SE,66
Kildare,SE,89
Kildare,SE,79
Kildare,SE,125
Kildare,SE,95
Kildare,SE,47
Kildare,SE,77
Kildare,SE,58
Kildare,SE,55
Kildare,SE,74
Kildare,SE,41
Kildare,SE,39
Kildare,SE,23
Kildare,SE,38
Kildare,SE,48
Kildare,SE,66
Kildare,SE,36
Kildare,SE,60
Kildare,SE,64
Kildare,SE,22
Kildare,SE,26
Kildare,SE,62
Kildare,SE,70
Kildare,SE,12
Kildare,SE,21
Kildare,SE,66
Kildare,SE,28
Kildare,SE,49
Kildare,SE,98
Kildare,SE,29
Kildare,SE,7
Kildare,SE,18
Kildare,SE,93
Kildare,SE,160
Kildare,SE,105
Kildare,SE,22
Kildare,SE,18
Kildare,SE,9
Kildare,SE,69
Kildare,SE,82
Kildare,SE,64
Kildare,SE,275
Kildare,SE,117
Kildare,SE,9
Kildare,SE,29
Kildare,SE,24
Kildare,SE,12
Kildare,SE,3
Kildare,SE,13
Kildare,SE,2
Kildare,SE,5
Kildare,SE,2
Kildare,SE,1
Kildare,SE,21
Kildare,SE,42
Kildare,SE,9
Kildare,SE,4
Kildare,SE,4
Kildare,SE,26
Kildare,SE,3
Kildare,SE,17
Kildare,SE,4
Kildare,SE,3
Kildare,SE,5
Kildare,SE,21
Kildare,SE,12
Kildare,SE,12
Kildare,SE,22
Kildare,SE,4
Kildare,SE,35
Kildare,SE,4
Kildare,SE,6
Kildare,SE,5
Kildare,SE,15
Kildare,SE,3
Kildare,SE,0
Kildare,SE,24
Kildare,SE,37
Kildare,SE,15
Kildare,SE,10
Kildare,SE,17
Kildare,SE,31
Kildare,SE,5
Kildare,SE,9
Kildare,SE,24
Kildare,SE,9
Kildare,SE,22
Kildare,SE,19
Kildare,SE,19
Kildare,SE,15
Kildare,SE,8
Kildare,SE,5
Kildare,SE,15
Kildare,SE,21
Kildare,SE,10
Kildare,SE,9
Kildare,SE,33
Kildare,SE,116
Kildare,SE,7
Kildare,SE,5
Kildare,SE,16
Kildare,SE,26
Kildare,SE,3
Kildare,SE,6
Kildare,SE,76
Kildare,SE,15
Kildare,SE,13
Kildare,SE,60
Kildare,SE,15
Kildare,SE,4
Kildare,SE,13
Kildare,SE,3
Kildare,SE,18
Kildare,SE,1
Kildare,SE,12
Kildare,SE,26
Kildare,SE,20
Kildare,SE,13
Kildare,SE,25
Kildare,SE,21
Kildare,SE,13
Kildare,SE,15
Kildare,SE,38
Kildare,SE,5
Kildare,SE,13
Kildare,SE,10
Kildare,SE,67
Kildare,SE,13
Kildare,SE,48
Kildare,SE,55
Kildare,SE,33
Kildare,SE,32
Kildare,SE,20
Kildare,SE,7
Kildare,SE,1
Kildare,SE,68
Kildare,SE,9
Kildare,SE,24
Kildare,SE,20
Kildare,SE,32
Kildare,SE,10
Kildare,SE,12
Kildare,SE,14
Kildare,SE,35
Kildare,SE,30
Kildare,SE,49
Kildare,SE,12
Kildare,SE,25
Kildare,SE,7
Kildare,SE,7
Kildare,SE,52
Kildare,SE,23
Kildare,SE,57
Kildare,SE,14
Kildare,SE,42
Kildare,SE,13
Kildare,SE,19
Kildare,SE,14
Kildare,SE,4
Kildare,SE,6
Kildare,SE,7
Kildare,SE,38
Kildare,SE,76
Kildare,SE,15
Kildare,SE,25
Kildare,SE,64
Kildare,SE,44
Kildare,SE,27
Kildare,SE,6
Kildare,SE,23
Kildare,SE,2
Kildare,SE,6
Kildare,SE,5
Kildare,SE,8
Kildare,SE,7
Kildare,SE,12
Kildare,SE,9
Kildare,SE,52
Kildare,SE,36
Kildare,SE,51
Kildare,SE,52
Kildare,SE,53
Kildare,SE,60
Kildare,SE,36
Kildare,SE,54
Kildare,SE,34
Kildare,SE,49
Kildare,SE,65
Kildare,SE,98
Kildare,SE,24
Kildare,SE,35
Kildare,SE,33
Kildare,SE,14
Kildare,SE,19
Kildare,SE,34
Kildare,SE,21
Kildare,SE,18
Kildare,SE,19
Kildare,SE,24
Kildare,SE,21
Kildare,SE,42
Kildare,SE,65
Kildare,SE,39
Kildare,SE,28
Kildare,SE,17
Kildare,SE,41
Kildare,SE,46
Kildare,SE,66
Kildare,SE,11
Kildare,SE,6
Kildare,SE,15
Kildare,SE,9
Kildare,SE,15
Kildare,SE,10
Kildare,SE,47
Kildare,SE,6
Kildare,SE,4
Kildare,SE,10
Kildare,SE,30
Kildare,SE,16
Kildare,SE,78
Kildare,SE,60
Kildare,SE,30
Kildare,SE,17
Kildare,SE,24
